Feature,Mean_SHAP_Value
destination_port,1.4236342
bwd_packet_length_std,1.1151127
init_win_bytes_backward,1.0451558
total_length_of_bwd_packets,0.62786746
bwd_packet_length_mean,0.37018788
total_backward_packets,0.32412112
fwd_header_length34,0.29110575
average_packet_size,0.2854762
min_packet_length,0.22954978
flow_bytes_s,0.1865971
init_win_bytes_forward,0.15593597
bwd_iat_std,0.14403613
min_seg_size_forward,0.14081246
total_length_of_fwd_packets,0.13599949
fwd_packet_length_mean,0.13471535
fwd_packet_length_max,0.12774953
subflow_bwd_packets,0.12506138
subflow_bwd_bytes,0.124868035
packet_length_std,0.112430595
flow_iat_std,0.110210545
flow_iat_min,0.10492584
active_std,0.085388035
fwd_iat_min,0.0826741
avg_bwd_segment_size,0.07383503
fwd_packet_length_min,0.069457404
fwd_iat_mean,0.06706544
fwd_packet_length_std,0.06497519
max_packet_length,0.060409762
down_up_ratio,0.059565745
fwd_header_length55,0.057162806
flow_iat_mean,0.046390206
act_data_pkt_fwd,0.04325767
subflow_fwd_bytes,0.041505396
bwd_header_length,0.03761938
bwd_iat_min,0.029959466
bwd_packet_length_max,0.029005306
bwd_iat_mean,0.026265277
psh_flag_count,0.026074206
packet_length_variance,0.025325509
idle_max,0.021604804
fwd_iat_max,0.019623496
flow_duration,0.01862814
total_fwd_packets,0.01849628
fwd_iat_std,0.018337978
fwd_iat_total,0.01740956
avg_fwd_segment_size,0.016194575
idle_mean,0.015636662
active_max,0.013489989
bwd_packets_s,0.013423674
packet_length_mean,0.012491407
flow_iat_max,0.01123691
bwd_iat_total,0.011126723
active_min,0.009883143
idle_min,0.009710707
ack_flag_count,0.008843945
fwd_packets_s,0.0061162994
bwd_packet_length_min,0.0040088347
subflow_fwd_packets,0.003657318
fin_flag_count,0.003158612
active_mean,0.002428879
idle_std,0.0018445257
flow_packets_s,0.0017544423
bwd_iat_max,0.0013997246
fwd_psh_flags,0.0008246396
urg_flag_count,0.00038819152
syn_flag_count,7.195658e-06
bwd_avg_bulk_rate,0.0
rst_flag_count,0.0
cwe_flag_count,0.0
bwd_avg_packets_bulk,0.0
bwd_avg_bytes_bulk,0.0
fwd_avg_bulk_rate,0.0
fwd_avg_packets_bulk,0.0
bwd_urg_flags,0.0
fwd_urg_flags,0.0
bwd_psh_flags,0.0
fwd_avg_bytes_bulk,0.0
ece_flag_count,0.0
