feature,shap_importance
init_win_bytes_forward,2.1505606
destination_port,1.9774977
init_win_bytes_backward,1.6253473
bwd_packet_length_std,1.6138062
total_length_of_bwd_packets,0.96595526
min_seg_size_forward,0.7510661
bwd_packet_length_mean,0.7071445
total_backward_packets,0.5757892
fwd_header_length34,0.3759885
min_packet_length,0.34171587
fwd_packet_length_mean,0.3279302
fwd_packet_length_max,0.2976555
packet_length_std,0.28232357
subflow_bwd_bytes,0.26719016
active_min,0.25117657
bwd_packets_s,0.23997092
bwd_iat_std,0.23902038
bwd_packet_length_min,0.23500259
fwd_iat_min,0.21696545
bwd_packet_length_max,0.20890088
bwd_iat_total,0.19928475
psh_flag_count,0.1769923
idle_min,0.17175636
packet_length_variance,0.1618458
average_packet_size,0.15194234
subflow_bwd_packets,0.14212118
active_max,0.13048987
total_length_of_fwd_packets,0.12480681
down_up_ratio,0.124060325
ack_flag_count,0.10803689
fwd_iat_max,0.10702903
flow_iat_std,0.1047722
active_std,0.10012993
avg_fwd_segment_size,0.098860286
act_data_pkt_fwd,0.09601875
bwd_iat_min,0.0948707
avg_bwd_segment_size,0.08826218
fwd_header_length55,0.08723209
fwd_iat_std,0.082168646
subflow_fwd_bytes,0.08183024
idle_max,0.07912308
flow_iat_min,0.078891024
flow_bytes_s,0.075993456
total_fwd_packets,0.07036984
fwd_packet_length_std,0.06768494
bwd_header_length,0.064929105
fwd_packets_s,0.06419814
flow_duration,0.0594729
max_packet_length,0.055957317
packet_length_mean,0.04860225
idle_mean,0.046177007
fwd_iat_total,0.034419023
flow_iat_mean,0.033836897
flow_iat_max,0.029496308
bwd_iat_max,0.029014913
fwd_iat_mean,0.02616847
subflow_fwd_packets,0.02477031
fin_flag_count,0.018937966
bwd_iat_mean,0.017049346
fwd_packet_length_min,0.013114718
active_mean,0.013099018
urg_flag_count,0.013003467
flow_packets_s,0.008445291
fwd_psh_flags,0.0043928656
idle_std,0.0022945968
bwd_psh_flags,0.0
cwe_flag_count,0.0
fwd_urg_flags,0.0
bwd_urg_flags,0.0
bwd_avg_bulk_rate,0.0
bwd_avg_packets_bulk,0.0
bwd_avg_bytes_bulk,0.0
fwd_avg_bulk_rate,0.0
fwd_avg_packets_bulk,0.0
fwd_avg_bytes_bulk,0.0
syn_flag_count,0.0
rst_flag_count,0.0
ece_flag_count,0.0
