Feature,SHAP_Importance_Norm,RF_Importance_Norm
bwd_packet_length_std,1.0,1.0
init_win_bytes_backward,0.9453533925682589,0.072692164276989
init_win_bytes_forward,0.429375801218675,0.0761453960999563
subflow_bwd_bytes,0.21736459623270207,0.398174327589664
total_length_of_bwd_packets,0.215655851730183,0.20519262267974112
bwd_packet_length_min,0.20076087732920433,0.01017913035974236
total_backward_packets,0.19069964226851935,0.18672527918376522
bwd_packet_length_mean,0.17695631491973324,0.47471924889221356
fwd_packet_length_max,0.1749333965553139,0.08767491988990372
fwd_packet_length_mean,0.11294934900456105,0.04709969374357663
fwd_header_length34,0.10140876056571249,0.1302785789087801
total_length_of_fwd_packets,0.10111866167102011,0.1387449192129611
flow_bytes_s,0.09573291937737184,0.024017774102265122
idle_min,0.09036567189179684,0.04976848379574627
min_seg_size_forward,0.08494916438686274,0.015784761875074053
min_packet_length,0.07914413375942093,0.02951211839745503
bwd_packet_length_max,0.07614250371861937,0.2644049209791116
max_packet_length,0.07046488837666398,0.45081237242339867
fwd_iat_min,0.06394459301742034,0.03327917594798731
active_min,0.062359471010164744,0.03518118159993848
act_data_pkt_fwd,0.060898476983280735,0.06494762866235816
packet_length_variance,0.0600885510794684,0.38569104578291735
packet_length_std,0.05527473710314215,0.7629369369489503
flow_iat_mean,0.05412015625502801,0.041206288989759816
avg_bwd_segment_size,0.05390369299490808,0.5356766831720199
fwd_iat_std,0.04615536947095929,0.0838740372746652
subflow_bwd_packets,0.044534080499791955,0.178415450176742
down_up_ratio,0.038515459287403436,0.006712885107016284
flow_iat_min,0.037407044427251346,0.010352644798537806
avg_fwd_segment_size,0.03630284161261775,0.07208585766128334
average_packet_size,0.03560390636248489,0.4941438454936967
bwd_packets_s,0.035522599248036385,0.12865579892134918
idle_max,0.034478290141447945,0.1331451637604892
bwd_iat_max,0.03126883303707941,0.015577350485872119
bwd_iat_std,0.030740770915668764,0.012458313131875764
subflow_fwd_bytes,0.030650918790216215,0.11441972646747894
bwd_iat_min,0.02756476701398449,0.007750484326505852
fwd_packet_length_min,0.024745917745216606,0.03652670493209732
bwd_header_length,0.024109941491255074,0.12251622003520354
flow_iat_std,0.022568109492964075,0.11963637215719147
flow_duration,0.02030808887842237,0.042305538970009264
fwd_packet_length_std,0.018078209713150748,0.04466492877169925
active_std,0.01769746643595401,0.010115802612846628
bwd_iat_total,0.016497487078247837,0.01288929102624972
fin_flag_count,0.016134105727793824,0.02507684745000114
fwd_packets_s,0.015441487059217811,0.02855615000319345
packet_length_mean,0.014494942076362347,0.4558572647256194
fwd_iat_total,0.014451051762534063,0.041469309775401426
bwd_iat_mean,0.013346606447201552,0.019378154191150937
psh_flag_count,0.01166745760218877,0.006332271046667145
flow_packets_s,0.011617537809129748,0.07293371260939763
flow_iat_max,0.010316372887311775,0.10241499789778877
idle_std,0.009799236182267225,0.0017089904984291867
fwd_iat_max,0.009538300474488628,0.18633887214731754
active_max,0.009538213253528797,0.027926681501756045
total_fwd_packets,0.008377448307209665,0.25122857147491395
fwd_header_length55,0.00676774617802049,0.1439183107623243
ack_flag_count,0.005933007563048364,0.015113774717432669
idle_mean,0.005917894879845529,0.11471395150438901
active_mean,0.005775413825460419,0.01773258420463969
fwd_iat_mean,0.004712785013483237,0.06674414294953877
subflow_fwd_packets,0.002250942035923538,0.18751782921372692
fwd_psh_flags,0.0016895370595581055,0.005011083419796451
urg_flag_count,0.0009494620944646605,0.0039207514560821236
syn_flag_count,0.0007092267617427989,0.005053589410499832
fwd_urg_flags,0.0,8.142684048033303e-07
fwd_avg_bytes_bulk,0.0,0.0
rst_flag_count,0.0,1.923226998065905e-06
fwd_avg_bulk_rate,0.0,0.0
ece_flag_count,0.0,1.2076887027531908e-06
cwe_flag_count,0.0,3.486730783202137e-07
bwd_urg_flags,0.0,0.0
bwd_psh_flags,0.0,0.0
bwd_avg_packets_bulk,0.0,0.0
bwd_avg_bytes_bulk,0.0,0.0
bwd_avg_bulk_rate,0.0,0.0
fwd_avg_packets_bulk,0.0,0.0
