feature,shap_importance
bwd_packet_length_std,3.1802144
init_win_bytes_backward,1.6118084
init_win_bytes_forward,1.0559658
bwd_packet_length_mean,0.8606762
fwd_packet_length_max,0.734548
average_packet_size,0.36957714
bwd_packets_s,0.33511055
bwd_packet_length_min,0.26275522
idle_min,0.25360435
packet_length_std,0.21797863
fwd_header_length34,0.19503368
total_fwd_packets,0.19492571
total_length_of_bwd_packets,0.18605836
fin_flag_count,0.1809465
min_seg_size_forward,0.17085631
fwd_iat_min,0.16469157
flow_iat_min,0.16325004
fwd_packet_length_mean,0.16296476
bwd_packet_length_max,0.15946333
fwd_iat_std,0.14126456
avg_bwd_segment_size,0.1405686
total_backward_packets,0.12480076
act_data_pkt_fwd,0.123846605
idle_max,0.1216361
total_length_of_fwd_packets,0.11844531
flow_iat_max,0.112622514
active_min,0.11086172
fwd_iat_mean,0.10678398
psh_flag_count,0.10544882
fwd_iat_max,0.094275765
fwd_iat_total,0.09290044
bwd_header_length,0.09063724
packet_length_mean,0.087014176
fwd_packet_length_std,0.085168764
flow_iat_mean,0.07063619
min_packet_length,0.06919221
subflow_bwd_bytes,0.06840512
fwd_packets_s,0.059105683
bwd_iat_min,0.05776617
bwd_iat_std,0.05541398
subflow_fwd_packets,0.048662685
flow_iat_std,0.045862537
flow_duration,0.044896048
active_max,0.04284224
flow_bytes_s,0.041747972
avg_fwd_segment_size,0.041708194
bwd_iat_mean,0.037599158
max_packet_length,0.035969548
ack_flag_count,0.03475491
urg_flag_count,0.033997133
bwd_iat_max,0.032936737
bwd_iat_total,0.031087711
subflow_fwd_bytes,0.030201612
flow_packets_s,0.02743182
idle_mean,0.024420427
fwd_header_length55,0.020636179
down_up_ratio,0.019588884
active_std,0.018504549
subflow_bwd_packets,0.01824416
active_mean,0.01746373
fwd_packet_length_min,0.015161174
fwd_psh_flags,0.015050645
packet_length_variance,0.0072987936
idle_std,0.005535719
syn_flag_count,0.0028000257
bwd_psh_flags,0.0
rst_flag_count,0.0
bwd_avg_packets_bulk,0.0
bwd_avg_bytes_bulk,0.0
fwd_avg_bulk_rate,0.0
fwd_avg_packets_bulk,0.0
fwd_avg_bytes_bulk,0.0
fwd_urg_flags,0.0
bwd_urg_flags,0.0
ece_flag_count,0.0
cwe_flag_count,0.0
bwd_avg_bulk_rate,0.0
