Method,Model,accuracy,precision,recall,f1,val_f1,auc_roc,auc_pr,training_time,prediction_time,model_size_mb
Baseline (All Features),Decision Tree,0.9986160639427645,0.9924945596660301,0.998332241348502,0.9954048416192179,0.9953674418604651,0.9994226530844453,0.9988330650381912,33.43535804748535,6.111165523529053,0.00038814544677734375
Baseline (All Features),Logistic Regression,0.9288469062657202,0.6936518202646262,0.9422389659896361,0.7990579559158727,0.7972430998547338,0.9858871335271072,0.9509463796305269,49.232256174087524,5.3945934772491455,0.009249687194824219
Baseline (All Features),SVM (LinearSVC),0.9198569112961824,0.6649944141143737,0.9395437488831974,0.7787802861057284,0.7764678651338632,0.9842606944501416,0.9485135979166537,224.3244686126709,5.4334821701049805,0.002349853515625
Baseline (All Features),Naive Bayes,0.3162931082667263,0.17929125287248196,0.993328965394008,0.303755967952352,0.30362812244164455,0.8828930983475787,0.6364329108975498,8.169209003448486,5.194377422332764,0.012287139892578125
Baseline (All Features),Random Forest,0.9984774467609413,0.993892744104492,0.9959795103937101,0.9949350330598796,0.9948833611377764,0.9999293455826065,0.9996766647319909,610.3040595054626,18.646562099456787,3.685436248779297
Baseline (All Features),GBT,0.9979587502096026,0.9899702658323348,0.9965006849723033,0.9932247411969871,0.9929211277824804,0.9998071491507555,0.9991221569001428,1346.7716617584229,8.875823020935059,0.9203596115112305
Baseline (All Features),XGBoost,0.9991347604941032,0.9949885091556083,0.9992703555899696,0.9971248356252925,0.9971229853914696,0.9999858319954369,0.9999395435116675,4615.521148443222,8.971824407577515,2.3211355209350586
Baseline (All Features),MLP,0.9900374489967022,0.9843643779741672,0.9487164214664363,0.9662117076129815,0.9643927358517489,0.9984215095452327,0.9936049020010919,314.66782569885254,7.958681344985962,0.00038814544677734375
Baseline (All Features),Hybrid Bagging Ensemble (Top-3 Mixed + Weighted),0.9990162651612543,0.9950433337290752,0.9984215855619751,0.9967295971458303,,0.9999778716852451,0.9999167762117871,11934.50038099289,36.38652014732361,7.241608619689941
Baseline (All Features),Ensemble Voting,0.9990542730982058,0.9952209210858305,0.9984960390732027,0.9968557900292122,,0.9999776121980539,0.9999086824197755,0.0,25.60916566848755,6.043331146240234
RF Top-30,Decision Tree,0.9949851880833939,0.971224066088825,0.9961135267139198,0.9835113538626657,0.9835965866155518,0.9993756922097983,0.9977770016043855,12.583739757537842,3.5312881469726562,0.0012273788452148438
RF Top-30,Logistic Regression,0.9460734447487563,0.875755247441763,0.7467836083149682,0.8061436080435935,0.8046201562877628,0.9643660347632758,0.9027439975091608,23.75799298286438,3.4041924476623535,0.0016078948974609375
