model,config,port_included,n_features,f1,recall,precision,auc_pr
Decision Tree,Without destination_port (proposed),False,77,0.9952678458669797,0.9974834713205075,0.9930620413609073,0.9936963855611121
Decision Tree,With destination_port (leaky),True,78,0.9966438966438966,0.9993745905056882,0.9939280848290978,0.9995034555586578
Logistic Regression,Without destination_port (proposed),False,77,0.7986041433971314,0.9422389659896361,0.6929681425426829,0.9507180783271064
Logistic Regression,With destination_port (leaky),True,78,0.8381257360627753,0.9431472988266126,0.7541495011073274,0.959085659196612
SVM (LinearSVC),Without destination_port (proposed),False,77,0.7858875331169074,0.9408392399785573,0.6747581110233025,0.9449108868426497
SVM (LinearSVC),With destination_port (leaky),True,78,0.8273733866212409,0.9402138304842457,0.7387158668132999,0.950893005951722
Naive Bayes,Without destination_port (proposed),False,77,0.298526565454281,0.993328965394008,0.17565877306396951,0.6304235419095933
Naive Bayes,With destination_port (leaky),True,78,0.3092793538027347,0.9937756864613735,0.18313735713403675,0.6437002483749673
Random Forest,Without destination_port (proposed),False,77,0.9953648937199145,0.9960837453094288,0.9946470789407164,0.9997171427626864
Random Forest,With destination_port (leaky),True,78,0.9964123628638704,0.998764071713622,0.9940717027551761,0.9998918854875696
GBT,Without destination_port (proposed),False,77,0.9924232314695373,0.996664482697004,0.9882179241104385,0.9990602403944806
GBT,With destination_port (leaky),True,78,0.9940938163147195,0.9975132527249985,0.9906977432044722,0.99951652837094
XGBoost,Without destination_port (proposed),False,77,0.9972064548723589,0.9993150276967062,0.9951067615658363,0.999942091585033
XGBoost,With destination_port (leaky),True,78,0.9979485654823843,0.9996426231461075,0.9962602398195417,0.9999730899889638
MLP,Without destination_port (proposed),False,77,0.9659808205875212,0.9479718863541604,0.984687248654334,0.9937696206779593
MLP,With destination_port (leaky),True,78,0.971143553419728,0.9524093156233248,0.9906295980794548,0.9962081953587181
